TenNhanVat	TrangBiChuyen	CapCuongHoa	TongLuotChuyen	TrangBiNhan
PhụngCôngTử	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
MộcPhụng	Huyền Thiết Kiếm-Hoàng Quang	14	0	Hàm Sa Xạ Ảnh-Ô Sương
HoảPhụng	Huyền Thiết Kiếm-Vân Phách	14	0	Phá Sơn Đao-Nghiệp Hỏa
KimPhụng	Long Lân Đao-Tâm Nhãn	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThổPhụng	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
ThuỷPhụng	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
NảiChuối9	Bạch Hổ Triền Thủ-Diên Dương	14	0	Phá Sơn Đao-Nghiệp Hỏa
LãoTam	Long Thủ Bội-Quy Nguyên	12	1	Côn Bằng Bội-Chí mạng
NảiChuối9a	Long Lân Đao-Diên Dương	14	0	Phá Sơn Đao-Nghiệp Hỏa
NảiChuối9b	Huyền Thiết Kiếm-Phá Quân	14	0	Phá Sơn Đao-Nghiệp Hỏa
NgaMiCóChim	Bắc Thần Liên-Chu Thiềm	12	1	Quần Điểu Liên-Thiên Sơn
NảiChuối9c	Huyền Thiết Kiếm-Linh Vũ	14	0	Phá Sơn Đao-Nghiệp Hỏa
NảiChuối9d	Kinh Lôi Thương-Hoàng Quang	14	0	Hàm Sa Xạ Ảnh-Ô Sương
NảiChuối9e	Long Lân Đao-Toái Trần	14	0	Thanh Sương Kiếm-Triệt Cốt
Giabao	Long Lân Đao-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
LãoTam	Xạ Nhật Hộ Uyển-Tâm Nhãn	12	2	Võ Thần Hộ Uyển-Thiên Sơn
ccccccccccccc	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
ZzMẫnMẫnzZ	Thanh Sương Kiếm-Vân Phách	12	0	Thanh Sương Kiếm-Diên Dương
ZzMẫnMẫnzZ	Thanh Sương Kiếm-Diên Dương	13	1	Thanh Sương Kiếm-Vân Phách
eeeeeeeeeeeee	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
ffffffffffffff	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
bbbbbbbbbbbbbb	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
00000W	Kinh Lôi Thương-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
zzlụmzz	Thất Tinh Thấu Cốt-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
RồngXanh	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Lạc Lôi
zbufloilonz	Long Lân Đao-Lạc Lôi	14	0	Thanh Sương Kiếm-Thực Cốt
zGiatteTez	Long Lân Đao-Tâm Nhãn	14	0	Thanh Sương Kiếm-Vân Phách
zBeHatLuz	Long Lân Đao-Tâm Nhãn	14	0	Hàm Sa Xạ Ảnh-Ô Sương
NhịNương	Huyền Thiết Kiếm-Vân Phách	14	0	Thanh Sương Kiếm-Vân Phách
TamNương	Huyền Thiết Kiếm-Vân Phách	14	0	Phá Sơn Đao-Nghiệp Hỏa
TamNương	Bắc Thần Liên-Cự Mộc	12	1	Quần Điểu Liên-Chí mạng
TamNương	Tiên Xạ Hương Nang-Chu Thiềm	12	2	Già Nam Hương Nang-Quy Nguyên
NgũNương	Huyền Thiết Kiếm-Hoàng Quang	14	0	Hàm Sa Xạ Ảnh-Ô Sương
LụcNương	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
zZzThanTaiAAzZz	Huyền Thiết Kiếm-Triệt Cốt	14	0	Thanh Sương Kiếm-Triệt Cốt
TôTiểuLy	Long Lân Đao-Tâm Nhãn	14	0	Thanh Sương Kiếm-Triệt Cốt
adminmn	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
zZzThanTaiBBzZz	Thất Tinh Thấu Cốt-Ô Sương	14	0	Hàm Sa Xạ Ảnh-Ô Sương
ThầyLangBéo	Giác Hải Bổng-Phi Yến	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThầyLangBéoa	Huyền Thiết Kiếm-Hoàng Long	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThầyLangBéob	Giác Hải Bổng-Linh Vũ	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThầyLangBéoc	Huyền Thiết Kiếm-Hấp Tinh	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThầyLangBéod	Giác Hải Bổng-Phá Quân	14	0	Hàm Sa Xạ Ảnh-Ô Sương
ThầyLangBéoe	Bạch Hổ Triền Thủ-Diên Dương	14	0	Thanh Sương Kiếm-Triệt Cốt
anhbachacu	Triều Lộ Liên-Hoàng Quang	14	1	Quần Điểu Liên-Chí mạng
lBéHộtLu	Huyền Thiết Kiếm-Triệt Cốt	14	0	Hàm Sa Xạ Ảnh-Ô Sương
zZzThanTaiCCzZz	Long Lân Đao-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
CôCô	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
zZzThanTaiDDzZz	Huyền Thiết Kiếm-Vân Phách	14	0	Thanh Sương Kiếm-Vân Phách
TrươngLong	Huyền Thiết Kiếm-Hoàng Quang	14	0	Hàm Sa Xạ Ảnh-Ô Sương
zZzThanTaiEEzZz	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
VươngTriều	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
MãHán	Huyền Thiết Kiếm-Triệt Cốt	14	0	Thanh Sương Kiếm-Triệt Cốt
LụcNương	Triều Lộ Liên-Hoàng Quang	14	1	Quần Điểu Liên-Phục Thạch
KẻMangTâmSự	Huyền Thiết Kiếm-Việt Quang	14	1	Thanh Sương Kiếm-Triệt Cốt
ZzMMzZMộc	Huyền Thiết Kiếm-Vân Phách	14	0	Hàm Sa Xạ Ảnh-Ô Sương
ZzMMzZThổ	Kinh Lôi Thương-Phá Quân	14	0	Phá Sơn Đao-Thương Lang
anhbachacu	Bắc Minh Bội-Hoàng Quang	14	2	Côn Bằng Bội-Quy Nguyên
ZzMMzZHỏa	Kinh Lôi Thương-Phá Quân	14	0	Phá Sơn Đao-Nghiệp Hỏa
ZzMMzZThủy	Thất Tinh Thấu Cốt-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
ZzMMzZKim	Long Lân Đao-Toái Trần	14	0	Thanh Sương Kiếm-Triệt Cốt
SauThienThu89	Kim Qua Chùy-Ô Sương	12	2	Phá Sơn Đao-Ô Sương
Viperrr	Kinh Lôi Thương-Phi Yến	14	0	Hàm Sa Xạ Ảnh-Ô Sương
Gumayusi	Kim Cô Bổng-Toái Trần	14	0	Phá Sơn Đao-Lạc Lôi
SauThienThu89	Long Lân Đao-Tâm Nhãn	14	3	Phá Sơn Đao-Ô Sương
WuKong	Phá Sơn Đao-Nghiệp Hỏa	14	2	Kim Qua Chùy-Chích Viêm
WuKong	Côn Bằng Bội-Thiên Sơn	12	3	Côn Bằng Bội-Chí mạng
ĐạiThiếuGia	Long Uyên Kiếm-Linh Vũ	15	0	Thanh Sương Kiếm-Vân Phách
KẻCôĐơn	Kinh Lôi Thương-Toái Trần	14	0	Thanh Sương Kiếm-Triệt Cốt
KẻCôĐơna	Nghiệt Long Chùy-Phá Quân	14	0	Thanh Sương Kiếm-Triệt Cốt
KẻCôĐơnb	Kinh Lôi Thương-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
KẻCôĐơnc	Thanh Long Triền Thủ-Nghiệp Hỏa	14	0	Thanh Sương Kiếm-Triệt Cốt
KẻCôĐơnd	Long Lân Đao-Toái Trần	14	0	Hàm Sa Xạ Ảnh-Ô Sương
KẻCôĐơne	Nghiệt Long Chùy-Phá Quân	14	0	Thanh Sương Kiếm-Triệt Cốt
TrầnTháiTổ	Long Lân Đao-Tâm Nhãn	14	0	Phá Sơn Đao-Nghiệp Hỏa
TiềmLong	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
HồTiểuMinh	Long Lân Đao-Nghiệp Hỏa	14	0	Thanh Sương Kiếm-Thực Cốt
MộtNhát	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
PhongLinh	Tiên Xạ Hương Nang-Diên Dương	12	0	Tiên Xạ Hương Nang-Thanh Phong
BinhKhíLâmAn	Tuyệt Ảnh Đao-Cự Mộc	14	0	Kim Qua Chùy-Thương Lang
EmChưaMười8	Tuyệt Ảnh Đao-Toái Trần	14	0	Phá Sơn Đao-Nghiệp Hỏa
EmChưaMười8	Thất Tinh Thấu Cốt-Diên Dương	2	1	Phá Sơn Đao-Nghiệp Hỏa
TửuLầuLâmAn	Bạch Hổ Triền Thủ-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
xxlụmxx	Huyền Thiết Kiếm-Hoàng Quang	14	0	Kim Qua Chùy-Thương Lang
cclụmcc	Long Lân Đao-Diên Dương	14	0	Kim Qua Chùy-Thương Lang
vvlụmvv	Kim Cô Bổng-Phá Quân	14	0	Thanh Sương Kiếm-Vân Phách
TriệuHổ	Huyền Thiết Kiếm-Hoàng Quang	14	0	Kim Qua Chùy-Ô Sương
ThuốcLâmAn	Thất Tinh Thấu Cốt-Hoàng Quang	14	0	Hàm Sa Xạ Ảnh-Ô Sương
VinFast	Huyền Thiết Kiếm-Toái Trần	14	0	Thanh Sương Kiếm-Triệt Cốt
bblụmbb	Kinh Lôi Thương-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
saothổ2	Phá Sơn Đao-Thương Lang	14	1	Phá Sơn Đao-Nghiệp Hỏa
TrangSứcLâmAn	Huyền Thiết Kiếm-Phá Quân	14	0	Phá Sơn Đao-Thương Lang
LưuDung	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
JACKIELove	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Thương Lang
ĐinhLực	Huyền Thiết Kiếm-Hoàng Quang	14	0	Hàm Sa Xạ Ảnh-Ô Sương
zZzThanTaiCCzZz	Triều Lộ Liên-Cự Mộc	14	1	Quần Điểu Liên-Thiên Sơn
SốMộta	Kinh Lôi Thương-Thực Cốt	14	0	Thanh Sương Kiếm-Triệt Cốt
SốMộtb	Huyền Thiết Kiếm-Diên Dương	14	0	Thanh Sương Kiếm-Triệt Cốt
SốMộtc	Nghiệt Long Chùy-Toái Trần	13	0	Thanh Sương Kiếm-Triệt Cốt
SốMột2c	Long Lân Đao-Toái Trần	14	0	Thanh Sương Kiếm-Triệt Cốt
SốMộtd	Thất Tinh Thấu Cốt-Linh Vũ	14	0	Thanh Sương Kiếm-Triệt Cốt
SốMộte	Long Lân Đao-Hoàng Quang	14	0	Hàm Sa Xạ Ảnh-Ô Sương
SốMộtf	Kinh Lôi Thương-Chu Thiềm	14	0	Thanh Sương Kiếm-Triệt Cốt
Uziiii	Kinh Lôi Thương-Toái Trần	14	0	Kim Qua Chùy-Ô Sương
ĐệNgũ	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
HaiNhát	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
Cherry	Nghiệt Long Chùy-Linh Vũ	14	0	Phá Sơn Đao-Nghiệp Hỏa
TrầnTháiTông	Long Lân Đao-Thương Lang	14	0	Phá Sơn Đao-Nghiệp Hỏa
SốHaib	Nghiệt Long Chùy-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
SiêuThú	Bạch Hổ Triền Thủ-Hoàng Quang	14	1	Phá Sơn Đao-Hàn Băng
SốHaia	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
SốHaic	Thất Tinh Thấu Cốt-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
SốHaid	Nghiệt Long Chùy-Toái Trần	14	0	Thanh Sương Kiếm-Triệt Cốt
SốHaie	Nghiệt Long Chùy-Phá Quân	14	0	Hàm Sa Xạ Ảnh-Ô Sương
SốHaif	Huyền Thiết Kiếm-Chu Tước	14	0	Thanh Sương Kiếm-Triệt Cốt
kimthu	Long Lân Đao-Tâm Nhãn	14	0	Phá Sơn Đao-Lạc Lôi
NghienCafein	Long Lân Đao-Diên Dương	14	0	Kim Qua Chùy-Ô Sương
BaNhát	Huyền Thiết Kiếm-Vân Phách	13	0	Hàm Sa Xạ Ảnh-Ô Sương
NghienCoke	Nghiệt Long Chùy-Toái Trần	14	0	Thanh Sương Kiếm-Triệt Cốt
PhongLinh	Thiên Ma Phù-Cự Mộc	12	1	Thanh Hư Phù-Tuyệt
zinzin	Lăng La Sam-Chu Thiềm	12	0	Bách Điểu Sam-Hàn
zinzin	Thiên Ma Phù-Cự Mộc	12	1	Thanh Hư Phù-Tuyệt
BốnNhát	Huyền Thiết Kiếm-Vân Phách	14	0	Phá Sơn Đao-Thương Lang
LênPhườngoIo	Huyền Thiết Kiếm-Triệt Cốt	14	0	Thanh Sương Kiếm-Triệt Cốt
LênXãoIo	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Thực Cốt
LênHuyệnoIo	Long Lân Đao-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
LênTỉnhoIo	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
LênBộoIo	Thất Tinh Thấu Cốt-Tâm Nhãn	14	0	Hàm Sa Xạ Ảnh-Ô Sương
Tanker	Thất Tinh Thấu Cốt-Diên Dương	14	0	Kim Qua Chùy-Thương Lang
ooOGameOVerOoo	Triều Lộ Liên-Hoàng Quang	14	1	Quần Điểu Liên-Chí mạng
SòLông	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
SốBa	Thiên Ngoại Phi Tiên-Diên Dương	14	0	Thanh Sương Kiếm-Vân Phách
SốBaa	Kim Cô Bổng-Diên Dương	14	0	Thanh Sương Kiếm-Vân Phách
SốBab	Nghiệt Long Chùy-Tâm Nhãn	14	0	Thanh Sương Kiếm-Vân Phách
SốBac	Kinh Lôi Thương-Hoàng Quang	14	0	Thanh Sương Kiếm-Vân Phách
SốBad	Kinh Lôi Thương-Cự Mộc	14	0	Hàm Sa Xạ Ảnh-Ô Sương
SốBae	Huyền Thiết Kiếm-Phi Yến	14	0	Thanh Sương Kiếm-Vân Phách
BéoKaKa	Kinh Lôi Thương-Vân Phách	14	0	Thanh Sương Kiếm-Thực Cốt
TrầnNhânTông	Long Lân Đao-Thương Lang	14	0	Kim Qua Chùy-Thương Lang
aduminnnn	Huyền Thiết Kiếm-Hoàng Quang	14	0	Quang Liên Đao-Ô Sương
TràĐá	Phá Sơn Đao-Thương Lang	14	1	Thanh Sương Kiếm-Vân Phách
TriểnTriêu	Huyền Thiết Kiếm-Tâm Nhãn	14	0	Phá Sơn Đao-Ô Sương
TestGame	Nghiệt Long Chùy-Chu Thiềm	14	0	Thanh Sương Kiếm-Triệt Cốt
TìnhNghĩa	Thiên Ngoại Phi Tiên-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
TiếnXKLĐ	Long Uyên Kiếm-Linh Vũ	14	0	Thanh Sương Kiếm-Triệt Cốt
TrầnAnhTông	Long Lân Đao-Thương Lang	14	0	Thanh Sương Kiếm-Triệt Cốt
TiềmLong	Trục Lộc Thiên Hựu Liên	14	1	Trục Lộc Thiên Hựu Liên
HoàngCaveeeee	Tiên Xạ Hương Nang-Chu Thiềm	12	1	Tiên Xạ Hương Nang-Diên Dương
ChếtNè	Thanh Sương Kiếm-Triệt Cốt	14	1	Thanh Sương Kiếm-Triệt Cốt
Koreaa	Huyền Thiết Kiếm-Hoàng Quang	14	0	Kim Qua Chùy-Thương Lang
TrầnMinhTông	Long Lân Đao-Thương Lang	14	0	Thanh Sương Kiếm-Vân Phách
HắcHọa	Nghiệt Long Chùy-Tâm Nhãn	14	0	Kim Qua Chùy-Thương Lang
HắcHoắc	Thất Tinh Thấu Cốt-Tâm Nhãn	14	0	Hàm Sa Xạ Ảnh-Ô Sương
HắcNữ	Huyền Thiết Kiếm-Triệt Cốt	14	0	Thanh Sương Kiếm-Triệt Cốt
PhongLinh	Giác Hải Bổng-Hoàng Quang	14	2	Thanh Sương Kiếm-Triệt Cốt
BảoNgọc	Huyền Thiết Kiếm-Việt Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
xekeos2	Thanh Sương Kiếm-Thực Cốt	12	0	Hàm Sa Xạ Ảnh-Toái Trần
ThúBay	Long Lân Đao-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThúBông	Thất Tinh Thấu Cốt-Ô Sương	14	0	Hàm Sa Xạ Ảnh-Ô Sương
SốBốna	Long Lân Đao-Hàn Băng	14	0	Thanh Sương Kiếm-Triệt Cốt
SốBốnb	Giác Hải Bổng-Toái Trần	14	0	Thanh Sương Kiếm-Triệt Cốt
SốBốnc	Nghiệt Long Chùy-Lạc Lôi	14	0	Thanh Sương Kiếm-Triệt Cốt
SốBốnd	Kim Cô Bổng-Diên Dương	14	0	Hàm Sa Xạ Ảnh-Ô Sương
SốBốne	Kinh Lôi Thương-Diên Dương	14	0	Thanh Sương Kiếm-Triệt Cốt
sauthienthu2	Long Lân Đao-Tâm Nhãn	14	0	Phá Sơn Đao-Nghiệp Hỏa
ĐàiLoan	Huyền Thiết Kiếm-Hoàng Quang	13	0	Hàm Sa Xạ Ảnh-Ô Sương
sauthienthu3	Long Lân Đao-Tâm Nhãn	14	0	Thanh Sương Kiếm-Triệt Cốt
SauThienThu89	Bắc Thần Liên-Việt Quang	12	4	Quần Điểu Liên-Minh
TôThiênViên	Long Lân Đao-Tâm Nhãn	14	0	Phá Sơn Đao-Lạc Lôi
VũHoàng	Thanh Sương Kiếm-Triệt Cốt	12	0	Thấu Cốt Thương-Việt Quang
CánBộThôn	Xích Tiêu Kiếm-Triệt Cốt	12	0	Thanh Sương Kiếm-Thực Cốt
LênBôoIo	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
NhatTinh	Bắc Thần Liên-Chu Thiềm	12	1	Quần Điểu Liên-Diên Dương
sauthienthu5	Long Lân Đao-Tâm Nhãn	14	0	Phá Sơn Đao-Lạc Lôi
saythienthu4	Long Lân Đao-Tâm Nhãn	14	0	Hàm Sa Xạ Ảnh-Ô Sương
TuyếtĐaoSơn	Long Lân Đao-Tâm Nhãn	14	0	Phá Sơn Đao-Lạc Lôi
sauthienthu6	Long Lân Đao-Tâm Nhãn	14	0	Phá Sơn Đao-Hàn Băng
HHHHHHHHH	Huyền Thiết Kiếm-Hoàng Quang	13	1	Phá Sơn Đao-Hàn Băng
ĐạiPhongĐao	Nghiệt Long Chùy-Hoàng Quang	14	0	Phá Sơn Đao-Lạc Lôi
PháPhongĐao	Bạch Hổ Triền Thủ-Hoàng Quang	14	0	Phá Sơn Đao-Lạc Lôi
TrảmMãĐao	Long Lân Đao-Chu Tước	14	0	Phá Sơn Đao-Lạc Lôi
QuỷĐầuĐao	Nghiệt Long Chùy-Linh Vũ	14	0	Phá Sơn Đao-Lạc Lôi
ThanhLongĐao	Giác Hải Bổng-Ô Sương	14	0	Phá Sơn Đao-Lạc Lôi
PháThiênĐao	Bạch Hổ Triền Thủ-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
TiểuMuội	Kinh Lôi Thương-Phi Yến	14	0	Thanh Sương Kiếm-Triệt Cốt
TụTiễn	Kinh Lôi Thương-Linh Vũ	14	0	Hàm Sa Xạ Ảnh-Ô Sương
Giathinh	Nghiệt Long Chùy-Thương Lang	14	0	Kim Qua Chùy-Thương Lang
TamTinh	Thanh Sương Kiếm-Triệt Cốt	14	1	Phá Sơn Đao-Hàn Băng
ooMeguri	Kinh Lôi Thương-Phi Yến	13	0	Thanh Sương Kiếm-Thực Cốt
BạchLong	Nghiệt Long Chùy-Diên Dương	14	0	Thanh Sương Kiếm-Triệt Cốt
ThanhLong	Giác Hải Bổng-Tâm Nhãn	14	0	Thanh Sương Kiếm-Triệt Cốt
BạchHổ	Giác Hải Bổng-Toái Trần	14	0	Thanh Sương Kiếm-Triệt Cốt
ChuTướcc	Long Lân Đao-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
HuyềnVũ	Kinh Lôi Thương-Huyền Vũ	14	0	Hàm Sa Xạ Ảnh-Ô Sương
CôngChúa	Huyền Thiết Kiếm-Việt Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
NgaMyBuff	Yển Nguyệt Đao-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
TamTinh	Bắc Thần Liên-Chu Thiềm	12	2	Quần Điểu Liên-Chí mạng
o0oVF3o0o	Kinh Lôi Thương-Diên Dương	14	0	Hàm Sa Xạ Ảnh-Ô Sương
o0oVF5o0	Tuyệt Ảnh Đao-Toái Trần	14	0	Phá Sơn Đao-Nghiệp Hỏa
o0oVFe34o0o	Kinh Lôi Thương-Phá Quân	14	0	Kim Qua Chùy-Ô Sương
CánBộThôn	Thanh Sương Kiếm-Thực Cốt	12	1	Xích Tiêu Kiếm-Triệt Cốt
CánBộThôn	Long Lân Đao-Diên Dương	14	2	Thanh Sương Kiếm-Thực Cốt
zÔngBố2Conz	Long Lân Đao-Nghịch Thủy	14	0	Thanh Sương Kiếm-Triệt Cốt
ABốĐường	Nghiệt Long Chùy-Phá Quân	14	0	Thanh Sương Kiếm-Vân Phách
BSugerBaBy	Giác Hải Bổng-Linh Vũ	14	0	Thanh Sương Kiếm-Triệt Cốt
CBốBanz	Giác Hải Bổng-Hấp Tinh	14	0	Hàm Sa Xạ Ảnh-Ô Sương
Banana	Tuyệt Ảnh Đao-Ô Sương	14	0	Phá Sơn Đao-Nghiệp Hỏa
Grapé	Nghiệt Long Chùy-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
CáChàBu	Bắc Thần Liên-Nghịch Thủy	12	1	Quần Điểu Liên-Truy Ảnh
Mangỏ	Giác Hải Bổng-Diên Dương	14	0	Phá Sơn Đao-Nghiệp Hỏa
DBốĐời	Kinh Lôi Thương-Diên Dương	14	0	Thanh Sương Kiếm-Triệt Cốt
PhóngChuỳRùa	Thanh Long Triền Thủ-Diên Dương	14	0	Kim Qua Chùy-Thương Lang
PhóngChuỳGà	Giác Hải Bổng-Tâm Nhãn	14	0	Kim Qua Chùy-Thương Lang
HHHHHHHHH	Thanh Sương Kiếm-Vân Phách	14	2	Thanh Sương Kiếm-Vân Phách
TiểuNgưNhi	Long Uyên Kiếm-Vân Phách	15	0	Thanh Sương Kiếm-Triệt Cốt
PhiChuỳGà	Nghiệt Long Chùy-Phá Quân	14	0	Kim Qua Chùy-Thương Lang
PhiChuỳĐần	Thiên Ngoại Phi Tiên-Chu Tước	14	0	Kim Qua Chùy-Thương Lang
PhiChuỳLệch	Kinh Lôi Thương-Hoàng Quang	14	0	Kim Qua Chùy-Thương Lang
PhiChuỳHụt	Thanh Long Triền Thủ-Diên Dương	14	0	Kim Qua Chùy-Thương Lang
o0oVF6o0o	Nghiệt Long Chùy-Toái Trần	14	0	Thấu Cốt Thương-Thương Lang
o0oVF7o0o	Thất Tinh Thấu Cốt-Diên Dương	14	0	Thanh Sương Kiếm-Triệt Cốt
TCQGaming	Long Uyên Kiếm-Vân Phách	15	1
PhongLinh	Thanh Sương Kiếm-Triệt Cốt	14	3	Thanh Sương Kiếm-Triệt Cốt
TiểuNgưNhi	Long Uyên Kiếm-Vân Phách	14	1
TiểuNgưNhi	Long Uyên Kiếm-Vân Phách	14	1	Thanh Sương Kiếm-Triệt Cốt
ĐỗTIênTiên	Giác Hải Bổng-Hoàng Quang	14	0	Chu Tước Triền Thủ-Nghiệp Hỏa
THtruemilk	Huyền Thiết Kiếm-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
LãoTứss	Nghiệt Long Chùy-Tâm Nhãn	14	0	Kim Qua Chùy-Thương Lang
TôTúNhi	Bạch Hổ Triền Thủ-Diên Dương	14	0	Hàm Sa Xạ Ảnh-Ô Sương
anhbachacu	Bắc Minh Bội-Thiên Sơn	14	3	Côn Bằng Bội-Diên Dương
WuKong	Bắc Minh Bội-Hoàng Quang	14	4	Côn Bằng Bội-Chí mạng
HoắcVũKa	Long Lân Đao-Tâm Nhãn	14	0	Thanh Sương Kiếm-Triệt Cốt
dotchaylong	Triều Lộ Liên-Hoàng Quang	14	1	Quần Điểu Liên-Thiên Sơn
PhụTrợMáu	Long Lân Đao-Hoàng Quang	13	0	Thanh Sương Kiếm-Triệt Cốt
BạchLongMã	Thanh Sương Kiếm-Thực Cốt	14	1	Thanh Sương Kiếm-Vân Phách
BạchLongMã	Long Uyên Kiếm-Triệt Cốt	13	2	Thanh Sương Kiếm-Thực Cốt
DépLàoTYK	Bắc Thần Liên-Chí mạng	12	1	Trục Lộc Thiên Hựu Liên
DépLàoTYK	Ngọa Hổ Thúc Yêu-Diên Dương	12	2	Trục Lộc Hoàng Long Triền Yêu
PhongLinh	Trầm Hương Sam-Chu Thiềm	14	4	Bách Điểu Sam-Hàn
HoiUcKT	Triều Lộ Liên-Cự Mộc	14	2	Quần Điểu Liên-Lâm Li
iIiNMiIi	Thanh Sương Kiếm-Triệt Cốt	12	0	Thanh Sương Kiếm-Triệt Cốt
iIiNMiIi	Huyền Thiết Kiếm-Triệt Cốt	14	1	Thanh Sương Kiếm-Triệt Cốt
LãoTứss	Võ Thần Hộ Uyển-Cự Mộc	12	1	Xạ Nhật Hộ Uyển-Tuyệt
LãoĂnMày	Kinh Lôi Thương-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
LãoĐộcVật	Huyền Thiết Kiếm-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
LãoHoàngGia	Huyền Thiết Kiếm-Toái Trần	14	0	Thanh Sương Kiếm-Triệt Cốt
HoàngKimGiáp	Thất Tinh Thấu Cốt-Diên Dương	14	0	Thanh Sương Kiếm-Thực Cốt
LãoĐôngTà	Phá Thiên Kích-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
LãoGiàKhọm	Thất Tinh Thấu Cốt-Diên Dương	14	0	Hàm Sa Xạ Ảnh-Ô Sương
MộcGiáp	Long Lân Đao-Hoàng Quang	14	0	Hàm Sa Xạ Ảnh-Ô Sương
TiểuLongNữ	Phá Thiên Kích-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
ĐỗTửuTam	Kinh Lôi Thương-Hoàng Quang	14	0	Phá Sơn Đao-Nghiệp Hỏa
ThủyGiáp	Phổ Độ Côn-Huyền Vũ	14	0	Thanh Sương Kiếm-Triệt Cốt
ĐỗTâmTâm	Long Lân Đao-Bạch Hổ	14	0	Thanh Sương Kiếm-Thực Cốt
HỏaGiáp	Hàm Sa Xạ Ảnh-Diên Dương	12	0	Phá Sơn Đao-Nghiệp Hỏa
ĐộcGiáp	Chu Tước Triền Thủ-Diên Dương	14	0	Phá Sơn Đao-Ô Sương
NgaMyGiap	Thấu Cốt Thương-Hoàng Quang	14	0	Thanh Sương Kiếm-Triệt Cốt
